There were 22762 Peaks found from m/z=   168.97    to m/z=   914.56.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE ION MODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise threshold: 0.011372        Peak threshold: 0.016245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration parameters: A = 144218504.692816 , B = -434117778.324974 and Trap Plate Voltage = -1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center of Mass for the Assigned Window is   497.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 There were ,11328 odd peaks, and ,11434 even peaks,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,Odd/Even,Nom. Z,KMD,Series Fit,DBE,Group,,Molecular Formula,,,,,,,,,,,,,,,,,
164,222.1289,2.1363,1829891.96,221.8809,222,1,-2,119,6,9,,N1 ,,C,16,H,16,N,1,,,,,,,,,,,
165,236.14454,4.2571,1739357.1,235.8809,236,1,-2,119,6,9,,N1 ,,C,17,H,18,N,1,,,,,,,,,,,
166,250.16017,5.9069,1624832.05,249.8809,250,1,-2,119,6,9,,N1 ,,C,18,H,20,N,1,,,,,,,,,,,
167,264.17581,6.231,1529549.48,263.8808,264,1,-2,119,6,9,,N1 ,,C,19,H,22,N,1,,,,,,,,,,,
168,278.19145,8.3282,1443307.2,277.8808,278,1,-2,119,6,9,,N1 ,,C,20,H,24,N,1,,,,,,,,,,,
169,292.20708,11.2177,1388372,291.8808,292,1,-2,119,6,9,,N1 ,,C,21,H,26,N,1,,,,,,,,,,,
170,306.22272,13.4236,1340066.9,305.8808,306,1,-2,119,6,9,,N1 ,,C,22,H,28,N,1,,,,,,,,,,,
171,320.23836,14.2852,1305373.48,319.8808,320,1,-2,119,6,9,,N1 ,,C,23,H,30,N,1,,,,,,,,,,,
172,334.25399,16.3491,1246892.39,333.8808,334,1,-2,119,6,9,,N1 ,,C,24,H,32,N,1,,,,,,,,,,,
173,348.26963,17.1403,1177270.26,347.8808,348,1,-2,119,6,9,,N1 ,,C,25,H,34,N,1,,,,,,,,,,,
174,362.28526,17.9801,1128922.29,361.8808,362,1,-2,119,6,9,,N1 ,,C,26,H,36,N,1,,,,,,,,,,,
175,376.3009,18.911,1080763.62,375.8807,376,1,-2,119,6,9,,N1 ,,C,27,H,38,N,1,,,,,,,,,,,
176,404.3322,14.9742,1008920.91,403.8807,404,1,-2,119,6,9,,N1 ,,C,29,H,42,N,1,,,,,,,,,,,
177,418.34785,14.925,980863.09,417.8807,418,1,-2,119,6,9,,N1 ,,C,30,H,44,N,1,,,,,,,,,,,
178,432.36351,13.2973,946262.55,431.8807,432,1,-2,119,6,9,,N1 ,,C,31,H,46,N,1,,,,,,,,,,,
179,446.37917,9.6572,919307.34,445.8808,446,1,-2,119,6,9,,N1 ,,C,32,H,48,N,1,,,,,,,,,,,
180,460.39482,9.8092,885722.69,459.8808,460,1,-2,119,6,9,,N1 ,,C,33,H,50,N,1,,,,,,,,,,,
181,474.41047,8.3655,857073.83,473.8808,474,1,-2,119,6,9,,N1 ,,C,34,H,52,N,1,,,,,,,,,,,
